R1_START	R1_END	R2_START	R2_END	UTR_IDX
625196	631183	631207	631357	9
368269	631183	631208	631358	9
395308	631183	631208	631358	9
625196	631183	631208	631358	9
395308	631183	631208	631358	9
478290	631183	631208	631358	9
631091	631215	631209	631359	9
395308	631183	631209	631359	9
625196	631183	631209	631359	9
447420	631183	631209	631359	9
395308	631183	631209	631359	9
594536	631183	631209	631359	9
368269	631183	631209	631359	9
368269	631183	631210	631360	9
448217	631183	631210	631360	9
625196	631183	631210	631360	9
625196	631183	631210	631360	9
368269	631183	631210	631360	9
518620	631183	631210	631360	9
488669	631184	631210	631360	9
368269	631110	631210	631360	9
470457	631183	631210	631360	9
625196	631183	631211	631361	9
631091	631215	631211	631361	9
625196	631183	631211	631361	9
513181	631183	631211	631361	9
625196	631183	631211	631361	9
459899	631183	631211	631361	9
416562	631183	631211	631361	9
500594	631183	631211	631361	9
395308	631183	631211	631361	9
509465	631183	631211	631360	9
446809	631183	631211	631361	9
395308	631183	631211	631361	9
521932	631183	631211	631361	9
625196	631183	631211	631361	9
416715	631182	631211	631361	9
506160	631182	631211	631361	9
427393	631184	631212	631362	9
21493	631183	631212	631362	9
368269	631183	631212	631362	9
350925	631192	631212	631362	9
629929	631183	631212	631362	9
624351	631183	631212	631362	9
522322	631183	631212	631362	9
503590	631183	631212	631362	9
427392	631183	631212	631362	9
513438	631183	631212	631362	9
491613	631183	631212	631362	9
522322	631183	631212	631362	9
625196	631183	631212	631362	9
437945	631183	631212	631362	9
456351	631183	631212	631362	9
368269	631183	631212	631362	9
368269	631183	631212	631362	9
625196	631183	631212	631362	9
423107	631183	631212	631362	9
625196	631185	631212	631362	9
631091	631215	631213	631363	9
631091	631215	631213	631363	9
400966	631183	631213	631363	9
625196	631184	631213	631363	9
349038	631183	631213	631363	9
460818	631182	631213	631363	9
368269	631183	631213	631314	9
625196	631183	631213	631362	9
631091	631215	631214	631364	9
625196	631183	631214	631364	9
452042	631182	631214	631364	9
491392	631183	631214	631364	9
527038	631183	631214	631364	9
472774	631110	631214	631364	9
425794	631184	631214	631364	9
368269	631183	631214	631364	9
521932	631183	631215	631365	9
462832	631183	631215	631365	9
510841	631183	631216	631366	9
432353	631183	631216	631366	9
368269	631183	631216	631366	9
422778	631183	631217	631367	9
368269	631183	631217	631367	9
522322	631183	631217	631367	9
631091	631215	631218	631368	9
425309	631183	631218	631368	9
368269	631183	631218	631368	9
535538	631183	631218	631368	9
399200	631183	631218	631368	9
364050	631183	631218	631368	9
522322	631183	631218	631368	9
470515	631183	631218	631368	9
500773	631183	631218	631368	9
525853	631183	631218	631368	9
594063	631183	631218	631368	9
439221	631183	631218	631368	9
493874	631183	631218	631368	9
487509	631183	631218	631368	9
417088	631183	631218	631368	9
368269	631183	631218	631368	9
403306	631183	631218	631368	9
488669	631184	631218	631368	9
368269	631183	631218	631368	9
368269	631183	631218	631368	9
459581	631183	631218	631368	9
395308	631183	631218	631368	9
368269	631183	631218	631368	9
368269	631183	631220	631368	9
625196	631183	631221	631371	9
460059	631183	631221	631371	9
452044	631183	631221	631371	9
625196	631185	631221	631371	9
395308	631183	631221	631371	9
408034	631183	631221	631371	9
592162	631183	631221	631371	9
397790	631186	631221	631371	9
480126	631183	631222	631371	9
466822	631183	631222	631372	9
625196	631183	631222	631372	9
512504	631183	631223	631371	9
368269	631183	631223	631373	9
475115	631183	631223	631373	9
501389	631184	631223	631373	9
625196	631183	631224	631374	9
408994	631183	631224	631374	9
450534	631183	631225	631375	9
462978	631183	631225	631375	9
458278	631183	631225	631375	9
506160	631220	631226	631376	9
368269	631183	631226	631376	9
510553	631183	631226	631376	9
587231	631183	631226	631376	9
625196	631183	631226	631376	9
493441	631183	631226	631376	9
497713	631183	631226	631376	9
522321	631182	631227	631377	9
452984	631111	631227	631377	9
522821	631182	631227	631377	9
480027	631183	631227	631377	9
479728	631183	631227	631377	9
473347	631183	631227	631377	9
400094	631183	631228	631378	9
368269	631183	631228	631378	9
406667	631183	631228	631378	9
473347	631183	631228	631378	9
420365	631183	631228	631378	9
593744	631183	631228	631378	9
480966	631183	631228	631378	9
625196	631183	631229	631379	9
532195	631183	631229	631379	9
368269	631183	631230	631380	9
400414	631183	631230	631380	9
474515	631183	631230	631380	9
518822	631183	631230	631380	9
631091	631215	631231	631381	9
425379	631183	631231	631381	9
527038	631183	631231	631381	9
449262	631183	631231	631381	9
395308	631183	631231	631381	9
625196	631183	631231	631381	9
443969	631183	631231	631381	9
518822	631183	631231	631381	9
522324	631182	631231	631381	9
625196	631183	631231	631381	9
631140	631251	631231	631381	9
625196	631183	631231	631381	9
631091	631215	631232	631382	9
631091	631215	631232	631382	9
467882	631183	631232	631382	9
625196	631183	631232	631382	9
498751	631183	631232	631382	9
363189	631183	631232	631382	9
467636	631183	631232	631382	9
514228	631183	631232	631382	9
437883	631183	631232	631382	9
415313	631183	631232	631382	9
390272	631183	631232	631382	9
395308	631183	631232	631382	9
462187	631183	631232	631382	9
395309	631184	631234	631384	9
506160	631185	631234	631384	9
625196	631183	631234	631384	9
400161	631183	631234	631384	9
625196	631183	631234	631384	9
617682	631181	631234	631384	9
625196	631183	631234	631384	9
353645	631183	631234	631384	9
504364	631183	631234	631384	9
427392	631183	631234	631384	9
625196	631183	631234	631384	9
424724	631183	631234	631384	9
352806	631183	631234	631384	9
469338	631183	631234	631384	9
625196	631183	631234	631384	9
499090	631183	631234	631384	9
421818	631183	631234	631384	9
519390	631183	631235	631385	9
625196	631183	631235	631384	9
409802	631183	631235	631385	9
472250	631184	631235	631385	9
395308	631183	631235	631385	9
386433	631183	631235	631385	9
625196	631183	631235	631397	9
368269	631183	631236	631386	9
418837	631183	631236	631386	9
368269	631183	631236	631386	9
473347	631183	631236	631386	9
522322	631183	631236	631386	9
435684	631183	631236	631386	9
625196	631183	631237	631387	9
625196	631183	631237	631387	9
625196	631183	631237	631387	9
395308	631183	631237	631387	9
506160	631182	631238	631388	9
399427	631183	631238	631388	9
410423	631183	631238	631388	9
625196	631183	631238	631388	9
625196	631183	631238	631388	9
352806	631183	631238	631388	9
427392	631183	631238	631388	9
421979	631183	631238	631387	9
625196	631183	631238	631388	9
416715	631183	631238	631388	9
631091	631215	631239	631389	9
625196	631183	631239	631389	9
368269	631183	631239	631389	9
522322	631183	631239	631389	9
395308	631183	631239	631389	9
478558	631183	631240	631390	9
522322	631183	631240	631390	9
395308	631183	631240	631390	9
462832	631183	631240	631390	9
629049	631183	631240	631390	9
368269	631183	631240	631390	9
421838	631183	631240	631390	9
449262	631183	631240	631390	9
395308	631183	631240	631390	9
368269	631183	631241	631391	9
504034	631182	631241	631391	9
368269	631183	631241	631391	9
365525	631186	631241	631391	9
421243	631183	631241	631391	9
497779	631183	631241	631391	9
489245	631183	631241	631391	9
